M=MODULE	module_enabled	module_name
S=SUBJECT	subject_enabled	subject_name	subject_description
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key

M	1	Databases
S	1	DBMS Subject Test 1	Databases – 1
Q	1	A schedule S: R[sub]1[/sub](A); W[sub]2[/sub](A); R[sub]1[/sub](A); commit[sub]1[/sub]; Rollback[sub]2[/sub]. The above schedule is		S	1		0	0	0	0
A	1	Recoverable schedule		0	1	
A	1	Cascading roll back schedule		0	2	
A	1	Non recoverable schedule	Explanation:\r\n\tGiven schedule is\r\n\t[object]DBMS Subject Test 1/Q11_exp.PNG[/object:231:179:]\r\n\r\n\tThe above schedule is not recoverable since dirty read happens (Transaction 1 read uncommitted data A written by Transaction 2 ) and commits before Transaction 2 commits. Here After Transaction 1 commited, Transaction 2 rolled back makes the schedule non recoverable.	1	3	
A	1	Strict schedule		0	4	
Q	1	Consider am employee relation as \r\nemployee(eid, name, age, sex, supervisor_id) with eid as primary key. \r\nWhich of the following is the correct SQL query for retrieving all employee names and their age who do not have supervisors.		S	1		0	0	0	0
A	1	Select name, age from employee where supervisor_id = NULL;	In SQL we cannot use “=” to compare with NULL values because SQL treats every NULL as distinct from other NULL value. For this purpose we use “IS NULL” predicate.	1	1	
A	1	Select name, age from employee where supervisor_id IS NULL;		0	2	
A	1	Select name, age from employee where supervisor_id IS NOT NULL;		0	3	
A	1	None of the above		0	4	
Q	1	Consider table STUDENT([u]Id[/u], Name, Marks, Sex) has 100 rows. How many rows will be retrieved if we execute the following query: \r\n“SELECT * FROM STUDENT WHERE NULL = NULL”;		S	1		0	0	0	0
A	1	100 rows are selected		0	1	
A	1	Error in SQL statement		0	2	
A	1	Zero rows are selected	Given query: SELECT * FROM STUDENT WHERE NULL = NULL;\r\n\tHere selection condition NULL = NULL will be false because each NULL is distinct for every rows. Therefore the query will retrieve zero rows.	1	3	
A	1	All rows are selected where “NULL” exist.		0	4	
Q	1	Consider the following 2 relations R[sub]1[/sub](A, B, C) and R[sub]2[/sub](C, D, E) with primary key A and C respectively. The relation R[sub]1[/sub] contains 500 tuples and R[sub]2[/sub] contains 250 tuples then the minimum and the maximum size of the left outer join r[sub]1[/sub]⟕r[sub]2[/sub] is ________.		S	1		0	0	0	0
A	1	250,500		0	1	
A	1	0,250		0	2	
A	1	500,0		0	3	
A	1	500, 500	In left outer join, all matched rows as well as unmatched rows of left hand side table will present in output. So, all the rows in left hand side should present in output and also the joining attribute “C” is the primary key for  relation R[sub]2[/sub] , this means each tuple in the  the left hand side relation can be joined to atmost one tuple in rlation R[sub]2[/sub]. So, the maximum number of tuples in join r[sub]1[/sub]⟕r[sub]2[/sub] is 500.	1	4	
Q	1	Consider the following entity relationship diagram(ERD), where two entities E[sub]1[/sub] and E[sub]2[/sub] have a relation R of cardinality M:N\r\n[object]DBMS Subject Test 1/Q3.PNG[/object:241:64:]                           \r\nThe attributes of E1 are A, B and C where A is the key attribute. The attributes of E2 are D, E and F where D is the key attribute and F is the multi valued attribute. Relation R has an attribute G, a relational database containing minimum number of tables with each table satisfying the requirements of third normal form (3NF) is designed from the above ERD. The minimum number of tables in database is		S	2		0	0	0	0
A	1	1		0	1	
A	1	2		0	2	
A	1	3		0	3	
